ID,Title,Difficulty,Language,Tags,URL,Date Solved
0001,Two Sum,Easy,Python 3,Array; Hash Table,https://leetcode.com/problems/two-sum/,2026-07-10
0002,Add Two Numbers,Medium,Python 3,Linked List; Math; Recursion,https://leetcode.com/problems/add-two-numbers/,2025-09-15
0004,Median of Two Sorted Arrays,Hard,Python 3,Array; Binary Search; Divide and Conquer,https://leetcode.com/problems/median-of-two-sorted-arrays/,2025-09-15
0007,Reverse Integer,Medium,Python 3,Math,https://leetcode.com/problems/reverse-integer/,2025-06-10
0009,Palindrome Number,Easy,Python,Math,https://leetcode.com/problems/palindrome-number/,2025-09-15
0012,Integer to Roman,Medium,Java,Hash Table; Math; String,https://leetcode.com/problems/integer-to-roman/,2025-09-15
0013,Roman to Integer,Easy,Python 3,Hash Table; Math; String,https://leetcode.com/problems/roman-to-integer/,2025-09-15
0014,Longest Common Prefix,Easy,Python 3,Array; String; Trie,https://leetcode.com/problems/longest-common-prefix/,2025-09-15
0017,Letter Combinations of a Phone Number,Medium,Python 3,Hash Table; String; Backtracking,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,2025-09-15
0020,Valid Parentheses,Easy,Python 3,String; Stack,https://leetcode.com/problems/valid-parentheses/,2025-09-15
0021,Merge Two Sorted Lists,Easy,Python 3,Linked List; Recursion,https://leetcode.com/problems/merge-two-sorted-lists/,2025-09-15
0026,Remove Duplicates from Sorted Array,Easy,Python 3,Array; Two Pointers,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,2025-09-15
0027,Remove Element,Easy,Python 3,Array; Two Pointers,https://leetcode.com/problems/remove-element/,2025-09-15
0028,Find the Index of the First Occurrence in a String,Easy,Python 3,Two Pointers; String; String Matching,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/,2025-09-15
0035,Search Insert Position,Easy,Python 3,Array; Binary Search,https://leetcode.com/problems/search-insert-position/,2025-09-15
0043,Multiply Strings,Medium,Python 3,Math; String; Simulation,https://leetcode.com/problems/multiply-strings/,2025-09-15
0048,Rotate Image,Medium,Python 3,Array; Math; Matrix,https://leetcode.com/problems/rotate-image/,2025-09-15
0053,Maximum Subarray,Medium,Python 3,Array; Divide and Conquer; Dynamic Programming,https://leetcode.com/problems/maximum-subarray/,2025-10-08
0058,Length of Last Word,Easy,Python 3,String,https://leetcode.com/problems/length-of-last-word/,2025-09-15
0067,Add Binary,Easy,Python 3,Math; String; Bit Manipulation; Simulation,https://leetcode.com/problems/add-binary/,2025-09-16
0083,Remove Duplicates from Sorted List,Easy,Python 3,Linked List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,2025-09-16
0088,Merge Sorted Array,Easy,Python 3,Array; Two Pointers; Sorting,https://leetcode.com/problems/merge-sorted-array/,2025-09-16
0094,Binary Tree Inorder Traversal,Easy,Python 3,Stack; Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/,2025-07-11
0100,Same Tree,Easy,Python 3,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/same-tree/,2025-09-16
0104,Maximum Depth of Binary Tree,Easy,Python 3,Tree; Depth-First Search; Breadth-First Search; Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,2025-07-11
0110,Balanced Binary Tree,Easy,Python 3,Tree; Depth-First Search; Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,2025-09-16
